list1,list2
Troy,Troy Trojans
Tulane,Tulane Green Wave
Tulsa,Tulsa Golden Hurricane
UAB,UAB Blazers
UC Davis,UC Davis Aggies
UC Irvine,UC Irvine Anteaters
UC Riverside,UC Riverside Highlanders
UC Santa Barbara,UC Santa Barbara Gauchos
UCF,UCF Knights
UCLA,UCLA Bruins
UNC Asheville,UNC Asheville Bulldogs
UNC Greensboro,UNC Greensboro Spartans
UNC Wilmington,UNC Wilmington Seahawks
UT Arlington,UT-Arlington Mavericks
Utah,Utah Utes
Utah State,Utah State Aggies
Utah Tech,Utah Tech Trailblazers
Utah Valley,Utah Valley Wolverines
UTEP,UTEP Miners
UTSA,UTSA Roadrunners
Saint Louis,Saint Louis Billikens
Valparaiso,Valparaiso Beacons
Vanderbilt,Vanderbilt Commodores
Vermont,Vermont Catamounts
Villanova,Villanova Wildcats
Virginia,Virginia Cavaliers
Virginia Commonwealth,VCU Rams
Virginia Tech,Virginia Tech Hokies
VMI,VMI Keydets
Wagner,Wagner Seahawks
Wake Forest,Wake Forest Demon Deacons
Washington State,Washington St Cougars
Washington,Washington Huskies
Weber State,Weber State Wildcats
West Georgia,West Georgia Wolves
West Virginia,West Virginia Mountaineers
Western Carolina,Western Carolina Catamounts
Western Illinois,Western Illinois Leathernecks
Western Kentucky,Western Kentucky Hilltoppers
Western Michigan,Western Michigan Broncos
William & Mary,William & Mary Tribe
Wichita State,Wichita St Shockers
Winthrop,Winthrop Eagles
Wisconsin,Wisconsin Badgers
Wofford,Wofford Terriers
Wright State,Wright St Raiders
Wyoming,Wyoming Cowboys
Xavier,Xavier Musketeers
Yale,Yale Bulldogs
Youngstown State,Youngstown St Penguins
Brigham Young,BYU
Connecticut,UConn
North Carolina,UNC
Pittsburgh,Pitt
Southern California,USC
Virginia Commonwealth,VCU
Mississippi,Ole Miss
Southern Methodist,SMU
Massachusetts,UMass
California,Cal
Bowling Green State,Bowling Green
Central Connecticut State,Central Connecticut
UC San Diego,UC San Diego Tritons
UC Irvine,UC-Irvine
UC Davis,UC-Davis
UC Riverside,UC-Riverside
Illinois-Chicago,UIC
Saint Joseph's,St. Joseph's
Saint Peter's,St. Peter's
Saint Mary's (CA),Saint Mary's
Michigan State,Michigan St Spartans
Grambling,Grambling Tigers
South Carolina State,South Carolina St Bulldogs
Bowie State,Bowie State Bulldogs
Bryant & Stratton Albany,Bryant & Stratton Albany Bobcats
Calumet College,Calumet Crimson Wave
Champion Christian,Champion Christian Tigers
Christendom,Christendom Crusaders
Cleary University,Cleary Cougars
ETSU,East Tennessee St Buccaneers
Elms,Elms Blazers
Florida Memorial,Florida Memorial Lions
Hannibal-LaGrange,Hannibal-LaGrange Trojans
Indiana University East,Indiana East Red Wolves
LaGrange,LaGrange Panthers
Lewis & Clark,Lewis & Clark Pioneers
Roberts Wesleyan,Roberts Wesleyan Redhawks
SIU-Edwardsville,SIU-Edwardsville Cougars
Southern Miss,Southern Miss Golden Eagles
St. John Fisher,St. John Fisher Cardinals
UC-San Diego,UC San Diego Tritons
UCSB,UC Santa Barbara Gauchos
UMBC,UMBC Retrievers
UMass-Lowell,UMass Lowell River Hawks
USC Upstate,South Carolina Upstate Spartans
LSU,LSU Tigers
Tusculum,Tusculum Pioneers
Gallaudet,Gallaudet Bison
Oglethorpe,Oglethorpe Stormy Petrels
Bethany (WV),Bethany Bison
Ecclesia,Ecclesia Royals
Aquinas,Aquinas Saints
Virginia University of Lynchburg,Virginia-Lynchburg Dragons
UNLV,UNLV Rebels
Auburn Montgomery,Auburn-Montgomery Senators
Cameron,Cameron Aggies
UT-Martin,Tenn-Martin Skyhawks
Fisher College,Fisher College Falcons
Saint Leo,Saint Leo Lions
Old Westbury,Old Westbury Panthers
College of Biblical Studies,College of Biblical Studies
Tougaloo,Tougaloo Bulldogs
Crown (MN),Crown Storm
Salish Kootenai,Salish Kootenai Bison
Bethesda University (CA),Bethesda Flames
Hawaii-Hilo,Hawaii-Hilo Vulcans
Trinity Christian,Trinity Christian Trolls
Coastal Georgia,Coastal Georgia Mariners
Saint John's (MN),Saint John's Johnnies
Alaska-Anchorage,Alaska-Anchorage Seawolves
